item,vendor_name,item_description,export_control_risk,sn_control,key_item,hazardcategory,hazardclassvalue,batterycount,sn,sn_availabled,spn,freeze_reason,reserved_name,state,c_material,wd_material_or_not,mg_material_or_not,inventory_time,storage_days,export_control_status,original_sn,product_line,sub_product_line,product,order_line,warehouse_code,warehouse_name,warehouse_address,subinv_group_code,subinv_group_name,subinv_code,inventory_qty,available_qty,fronze_qty,reserved_qty,unit,rev,version,computing_software_version,original_manufacturer,item_model,production_batch_no,production_date,rohs_compliance,quality_category,first_inbound_date,storage_days_start_date
03020WGE,HUAWEI,"OSN 8800T16,TN16AUX,System Auxiliary Interface Board,1*1",,Y,N,Normal Cargo,,0,020WGE10B9000102,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
34060529,HUAWEI,"Optical Transceiver,eSFP,1511nm,155.52Mbps,0.5~5.0dBm,-41.0dBm,LC,SM,150km",,Y,N,Normal Cargo,,0,SP340605293A3011774A,Y,,,,Good Parts,,No,No,,,,,Optical Business,WDM,OptiX OSN 8800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,,
34060313,HUAWEI,"Optical Transceiver,XFP,1310nm,9.95~11.1Gb/s,-6dBm~-1dBm,-14.4dBm,LC,SM,10km",4.0,Y,N,Normal Cargo,,0,SP340603133A3011777A,Y,,,,Good Parts,,No,No,,,,,Optical Business,WDM,NetEngine40E&80E,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,,
03020WQE,HUAWEI,"OptiX OSN 8800T16,TN16EFI,EMI Filter Interface Board-1*1",,Y,N,Normal Cargo,,0,020WQE10B9000070,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03020WAK,HUAWEI,"OptiX OSN 8800 T16,TN16XCH,High Cross-connection,System Control and Clock Processing Board,1*1",,Y,N,Non-DG,99.0,1,020WAK10D1000285,Y,,,,Good Parts,,No,No,2384 days 00:32:08,2385.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2018-10-07 22:52:49,2018-10-07 22:52:49
03020WXP,HUAWEI,"OptiX OSN 8800 T16,TN16PIU,Power Interface Board,1*4",,Y,N,Normal Cargo,,0,020WXP10B8000288,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03030LNB,HUAWEI,"OptiX OSN 8800,TN52SCC01,System Control and Communication Board",,Y,N,Non-DG,99.0,1,030LNBW0K9000487,Y,,,,Good Parts,,No,No,1884 days 14:23:59,1885.0,Not Controlled,,Optical Business,WDM,OptiX OSN 8800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2020-02-19 09:00:58,2020-02-19 09:00:58
03030HAJ,HUAWEI,"OptiX OSN 6800,TN11DCU02,Dispersion Compensation Unit(B,40km,for G.652)",,Y,N,Normal Cargo,,0,030HAJ10B8000080,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 9800 UPS,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03030HAK,HUAWEI,"OptiX OSN 6800,TN11DCU03,Dispersion Compensation Unit(C,60km,for G.652)",,Y,N,Normal Cargo,,0,030HAK10B9000093,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 9800 UPS,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03030HAM,HUAWEI,"OptiX OSN 6800,TN11DCU05,Dispersion Compensation Unit(E,100km,for G.652)",,Y,N,Normal Cargo,,0,030HAMD0B9000019,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 9800 UPS,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
